[0.017s] Invoking command in '/home/ming/turtle_ws/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=/opt/ros/humble:${CMAKE_PREFIX_PATH} /usr/bin/cmake --build /home/ming/turtle_ws/build/turtlebot3_gazebo -- -j16 -l16
[0.188s] [ 16%] Built target turtlebot3_drive
[0.188s] [ 33%] Built target obstacle1
[0.188s] [ 50%] Built target obstacles
[0.188s] [ 75%] Built target traffic_bar_plugin
[0.188s] [ 83%] Built target obstacle2
[0.188s] [100%] Built target traffic_light_plugin
[0.189s] Invoked command in '/home/ming/turtle_ws/build/turtlebot3_gazebo' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble:${CMAKE_PREFIX_PATH} /usr/bin/cmake --build /home/ming/turtle_ws/build/turtlebot3_gazebo -- -j16 -l16
[0.196s] Invoking command in '/home/ming/turtle_ws/build/turtlebot3_gazebo': CMAKE_PREFIX_PATH=/opt/ros/humble:${CMAKE_PREFIX_PATH} /usr/bin/cmake --install /home/ming/turtle_ws/build/turtlebot3_gazebo
[0.208s] -- Install configuration: ""
[0.209s] -- Execute custom install script
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/lib/turtlebot3_gazebo/turtlebot3_drive
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/empty_world.launch.py
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/garlegil3.launch.py
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/graph_routes.launch.py
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/multi_robot.launch.py
[0.209s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/multi_spawn_turtlebot3.launch.py
[0.210s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/robot_state_publisher.launch.py
[0.211s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/spawn_turtlebot3.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_autorace_2020.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage1.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage2.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage3.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_dqn_stage4.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_house.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_wa.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//launch/turtlebot3_world.launch.py
[0.212s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/checker.png
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/scripts/checker.material
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/materials/textures/checker.png
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/model.config
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/checker/model.sdf
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/materials/scripts/course.material
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/materials/textures/course.png
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/model.config
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/course/model.sdf
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/materials/scripts/traffic_bar.material
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/materials/textures/traffic_bar.png
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/model.config
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_bar/model.sdf
[0.213s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/materials/scripts/traffic_construction.material
[0.214s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/materials/textures/traffic_construction.png
[0.214s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/model.config
[0.215s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_construction/model.sdf
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/materials/scripts/traffic_intersection.material
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/materials/textures/traffic_intersection.png
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/model.config
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_intersection/model.sdf
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/materials/scripts/traffic_is_left.material
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/materials/textures/traffic_left.png
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/model.config
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_left/model.sdf
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/scripts/traffic_light.material
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light.png
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_green.png
[0.216s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_red.png
[0.220s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/materials/textures/traffic_light_yellow.png
[0.220s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/model.config
[0.221s] -- Up-to-date symlink: /home/ming/turtle_ws/install/share/turtlebot3_gazebo//models/turtlebot3_autorace_2020/traffic_light/model.sdf
